case_id,text,summary
TR_001,"This is the full text of legal case 1. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 1: A brief overview of the contract law issues and court's judgment.
TR_002,"This is the full text of legal case 2. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 2: A brief overview of the contract law issues and court's judgment.
TR_003,"This is the full text of legal case 3. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 3: A brief overview of the contract law issues and court's judgment.
TR_004,"This is the full text of legal case 4. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 4: A brief overview of the contract law issues and court's judgment.
TR_005,"This is the full text of legal case 5. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 5: A brief overview of the contract law issues and court's judgment.
TR_006,"This is the full text of legal case 6. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 6: A brief overview of the contract law issues and court's judgment.
TR_007,"This is the full text of legal case 7. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 7: A brief overview of the contract law issues and court's judgment.
TR_008,"This is the full text of legal case 8. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 8: A brief overview of the contract law issues and court's judgment.
TR_009,"This is the full text of legal case 9. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 9: A brief overview of the contract law issues and court's judgment.
TR_010,"This is the full text of legal case 10. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 10: A brief overview of the contract law issues and court's judgment.
TR_011,"This is the full text of legal case 11. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 11: A brief overview of the contract law issues and court's judgment.
TR_012,"This is the full text of legal case 12. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 12: A brief overview of the contract law issues and court's judgment.
TR_013,"This is the full text of legal case 13. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 13: A brief overview of the contract law issues and court's judgment.
TR_014,"This is the full text of legal case 14. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 14: A brief overview of the contract law issues and court's judgment.
TR_015,"This is the full text of legal case 15. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 15: A brief overview of the contract law issues and court's judgment.
TR_016,"This is the full text of legal case 16. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 16: A brief overview of the contract law issues and court's judgment.
TR_017,"This is the full text of legal case 17. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 17: A brief overview of the contract law issues and court's judgment.
